game_month,batter_team,is_batter_lefty,is_pitcher_lefty,bb_type,bearing,pitch_name,park_name,inning,outs_when_up,balls,strikes,plate_x,plate_z,pitch_mph,launch_speed,launch_angle,is_home_run
8,SD,0,0,fly_ball,center,Cutter,Dodger Stadium,6,0,0,0,0.13,2.56,93.2,107.8,46,0
9,ATL,0,0,line_drive,right,Sinker,SunTrust Park,4,1,0,1,-0.57,2.24,91.3,77.6,29,0
9,ATL,0,1,ground_ball,center,Sinker,SunTrust Park,1,0,0,0,0.14,1.35,89.8,114.8,4,0
8,TB,1,0,line_drive,center,Curveball,Fenway Park,9,0,1,2,-0.67,2.55,79.6,105.3,2,0
8,ARI,0,0,line_drive,center,4-Seam Fastball,Coors Field,7,0,0,1,-0.43,2.72,95.6,99.5,13,0
8,ATL,1,0,fly_ball,right,Slider,Citizens Bank Park,6,1,1,1,0.23,2.86,91.2,104.9,35,1
9,TOR,1,1,line_drive,center,Changeup,Citizens Bank Park,4,2,2,2,-0.32,2,86.5,99.2,9,0
8,TEX,1,0,line_drive,center,4-Seam Fastball,Globe Life Park,3,0,0,0,0,2.62,89.7,107.3,24,1
9,TEX,1,0,fly_ball,right,4-Seam Fastball,T-Mobile Park,2,0,1,2,0.41,2.7,92.1,113.5,35,1
9,HOU,1,1,fly_ball,left,Sinker,RingCentral Coliseum,6,2,3,1,-0.8,2.3,93.6,90.5,48,0
9,MIA,0,0,line_drive,center,Slider,Marlins Park,1,0,2,2,0.95,2.54,88.8,97.3,8,0
8,DET,0,0,fly_ball,center,4-Seam Fastball,Progressive Field,7,0,0,1,-0.5,3.69,93.7,95.6,39,0
9,CIN,1,0,fly_ball,center,Changeup,Great American Ballpark,2,0,1,1,-0.15,2.3,85.6,94.8,34,0
7,CWS,0,0,ground_ball,left,Slider,Progressive Field,7,2,0,0,0.36,3.24,85.3,84.5,4,0
8,SD,0,0,ground_ball,center,4-Seam Fastball,Chase Field,6,1,0,1,0.3,2.55,94.4,25.4,-30,0
8,WSH,1,1,line_drive,center,4-Seam Fastball,SunTrust Park,9,0,0,0,0.3,2.35,91.5,110,26,1
8,SD,1,1,ground_ball,left,Cutter,Petco Park,1,2,1,0,0.05,2.22,93,104.1,-7,0
8,TOR,0,1,line_drive,center,Sinker,Rogers Centre,6,1,0,0,0.66,2.9,91.5,104.8,28,1
8,CHC,1,0,line_drive,center,Changeup,Great American Ballpark,4,1,2,2,-0.14,1.86,88.6,102.2,22,1
8,OAK,1,0,line_drive,center,Changeup,Globe Life Park,2,1,1,1,-0.53,2.14,85.7,106.8,11,0
8,BAL,0,1,line_drive,left,4-Seam Fastball,Oriole Park at Camden Yards,8,2,1,2,-0.69,3.53,94.4,109.5,24,1
8,SEA,1,0,fly_ball,right,4-Seam Fastball,Globe Life Park,2,0,1,0,0.12,3.58,93.3,108.1,27,1
9,OAK,0,1,fly_ball,right,Curveball,Dodger Stadium,7,0,1,2,-0.33,1.65,81.5,87.3,46,0
8,KC,0,0,line_drive,center,Cutter,Guarantee Rate Park,9,1,1,0,0.31,2.93,89.8,106.2,12,0
9,PHI,0,0,line_drive,left,Changeup,Nationals Park,4,1,2,2,-0.55,2.54,71.4,86.4,26,0
9,MIN,0,0,fly_ball,center,Slider,Target Field,5,1,2,2,0.24,2.65,85.7,104.1,26,1
9,TEX,0,1,ground_ball,center,Changeup,Globe Life Park,4,0,0,1,0.31,2.18,81.8,53.5,-49,0
8,DET,0,1,fly_ball,left,4-Seam Fastball,Comerica Park,9,2,2,2,-1.09,2.87,92,80.6,30,0
10,TB,1,1,ground_ball,center,Curveball,Tropicana Field,4,1,1,0,-0.33,1.35,77.4,46.5,-58,0
7,SD,1,0,line_drive,right,Sinker,Oracle Park,4,2,0,1,-0.5,2.13,97.8,106.8,25,1
8,PHI,0,1,line_drive,left,Changeup,Citizens Bank Park,2,1,2,2,0.4,2.5,85.8,98.1,26,1
9,COL,1,0,line_drive,center,4-Seam Fastball,Coors Field,3,1,1,1,0.25,1.79,92,101.4,20,0
9,ARI,0,1,line_drive,left,Sinker,Dodger Stadium,9,2,2,1,-0.34,2.09,93.2,107.5,24,1
10,LAD,0,0,ground_ball,center,Sinker,Tropicana Field,8,1,1,0,0.31,2.25,91.7,100.8,-21,0
9,NYY,0,0,popup,right,Sinker,New Yankee Stadium,7,1,2,1,-0.95,2.9,92.7,70.9,64,0
8,COL,0,1,line_drive,left,Changeup,Coors Field,1,1,0,1,-0.65,2.09,89.5,105.4,28,1
8,PHI,0,0,fly_ball,left,Slider,Citizens Bank Park,6,1,0,0,-0.12,2.89,82.9,103.8,35,1
8,ARI,0,1,line_drive,center,Sinker,Coors Field,4,0,2,2,-0.5,2.82,94.5,104.7,29,1
9,CIN,0,0,line_drive,center,4-Seam Fastball,Great American Ballpark,2,0,2,2,0.22,2.02,94.8,111.4,16,0
9,STL,1,0,fly_ball,center,Slider,PNC Park,6,1,2,2,0.05,2.37,81.8,84.2,36,0
8,MIL,1,1,line_drive,center,4-Seam Fastball,Target Field,5,0,1,2,0.07,2.38,93.2,104.9,26,1
9,COL,0,0,ground_ball,left,Split-Finger,Oracle Park,1,2,1,0,0.15,1.78,85.3,56.3,-58,0
8,OAK,0,0,line_drive,center,Curveball,T-Mobile Park,7,0,0,2,-0.14,2.2,81.7,97.2,25,1
8,CLE,1,0,fly_ball,right,Slider,Comerica Park,3,0,2,1,0.81,1.96,86.6,96.2,33,1
8,WSH,1,1,ground_ball,left,Sinker,Fenway Park,1,1,1,1,0.82,2.4,92.4,74.7,-4,0
9,PIT,0,1,line_drive,right,4-Seam Fastball,PNC Park,2,2,2,1,-0.02,2.29,91.6,90.2,18,0
8,STL,1,0,ground_ball,left,Cutter,Wrigley Field,8,0,0,0,0.2,2.84,88.2,77.2,-9,0
9,KC,0,1,fly_ball,left,4-Seam Fastball,Kauffman Stadium,1,1,0,0,-0.44,3.07,92,104.5,35,1
8,MIA,1,0,ground_ball,right,Changeup,Rogers Centre,3,2,0,2,0.48,2.83,84.7,85.2,-22,0
8,BAL,0,0,line_drive,left,4-Seam Fastball,Oriole Park at Camden Yards,6,1,2,0,-0.33,2.36,95.4,108.9,26,1
9,CWS,0,0,ground_ball,center,Sinker,Guarantee Rate Park,1,0,2,2,-0.08,1.92,92.3,100.8,-2,0
9,ARI,0,1,ground_ball,left,4-Seam Fastball,Chase Field,5,2,1,1,-0.09,2.78,91.2,84.2,-17,0
8,HOU,0,1,line_drive,center,Cutter,Chase Field,2,0,1,1,-0.24,2.76,84,102,26,1
10,SD,0,0,ground_ball,center,Sinker,Petco Park,7,0,1,2,-0.74,2.48,98.3,68.4,3,0
9,WSH,1,0,fly_ball,center,4-Seam Fastball,SunTrust Park,1,1,1,0,0.4,2.64,94.3,93.7,31,0
8,PHI,1,0,fly_ball,center,Knuckle Curve,Citizens Bank Park,5,0,0,0,-0.06,2.81,79.9,108.9,32,1
9,LAD,0,1,ground_ball,left,Slider,Dodger Stadium,1,1,2,1,-0.36,2.31,84,97.5,-7,0
9,LAD,0,0,line_drive,left,Slider,Dodger Stadium,1,1,3,2,0.6,2.57,86.6,98.1,8,0
9,NYM,0,0,fly_ball,center,4-Seam Fastball,Nationals Park,2,0,2,1,-0.57,1.66,92.1,107.4,30,1
9,TOR,1,0,line_drive,right,4-Seam Fastball,Tropicana Field,8,1,0,0,0.26,3.31,94.9,102.2,22,0
8,CIN,1,0,ground_ball,left,Sinker,Great American Ballpark,1,0,3,2,-0.25,2.29,92.2,65.1,-13,0
8,TOR,0,0,line_drive,center,Slider,Rogers Centre,10,2,1,0,0.35,2.15,88.7,103.1,27,1
8,TB,1,0,ground_ball,center,Changeup,New Yankee Stadium,8,1,3,2,-0.95,2.42,86.7,80.5,-32,0
8,MIL,1,0,line_drive,center,Changeup,Target Field,9,0,0,1,0.04,1.13,80.7,66.8,22,0
8,MIN,0,1,line_drive,center,4-Seam Fastball,Target Field,4,0,1,1,-0.36,2.47,93,105.8,22,1
9,TB,0,0,ground_ball,center,Sinker,Tropicana Field,6,2,2,2,-0.86,2.61,95.5,68.3,-11,0
8,MIA,0,1,line_drive,center,Changeup,Marlins Park,5,0,2,1,0.34,2.57,88.5,107.4,22,1
8,BOS,1,0,line_drive,left,Sinker,Fenway Park,7,2,2,1,-0.76,1.94,93.9,93.4,27,0
7,HOU,1,0,fly_ball,center,Split-Finger,Minute Maid Park,5,1,2,1,0.51,1.97,83.5,98.4,32,1
8,COL,0,0,line_drive,center,Sinker,Coors Field,1,2,2,0,0.19,2.45,88.7,109.6,26,1
8,LAA,1,0,line_drive,center,Changeup,RingCentral Coliseum,6,1,0,0,-0.37,2.01,83.7,101.3,24,0
10,TB,0,0,fly_ball,left,Slider,New Yankee Stadium,5,0,0,0,0.06,2.16,84.2,99.8,32,1
8,CWS,0,0,popup,center,4-Seam Fastball,Guarantee Rate Park,7,2,1,1,-1.31,2.99,96,65.5,80,0
7,CLE,0,0,ground_ball,center,Cutter,Progressive Field,7,1,0,0,0.72,2.42,91.1,70.2,-18,0
8,WSH,0,0,fly_ball,left,Curveball,Nationals Park,3,0,1,1,0.33,2.27,76.6,74,38,0
8,CIN,0,0,fly_ball,center,Sinker,Great American Ballpark,2,0,0,1,-0.58,2.45,86.4,97.3,36,1
9,DET,1,0,line_drive,center,Sinker,Busch Stadium III,6,1,2,1,-0.38,2.31,93,102.6,17,0
8,ARI,1,0,fly_ball,left,4-Seam Fastball,Chase Field,7,2,0,0,-0.67,2.44,97.4,100.1,42,0
8,NYY,0,0,ground_ball,center,Sinker,New Yankee Stadium,5,2,0,0,-0.22,2.61,90,103.5,-18,0
10,HOU,0,1,ground_ball,left,4-Seam Fastball,Tropicana Field,1,2,3,1,-0.45,2.71,97.4,78,6,0
9,PIT,1,0,line_drive,center,Sinker,Kauffman Stadium,2,1,0,0,-0.05,2.64,98.2,111.5,10,0
8,SF,0,0,line_drive,center,Sinker,Dodger Stadium,6,2,0,2,-0.44,2.23,93.5,98.5,25,1
9,MIN,0,1,fly_ball,center,Changeup,Target Field,1,0,3,2,0.07,3.18,77.7,95.8,36,1
9,MIN,0,1,fly_ball,left,Changeup,Target Field,1,0,1,1,0.16,2.69,81.8,99.3,34,1
7,ARI,0,1,popup,center,Slider,Chase Field,6,1,1,1,-0.11,1.93,80,47.9,76,0
9,KC,0,1,popup,center,4-Seam Fastball,Kauffman Stadium,5,2,1,0,-0.58,3.04,90.5,69.1,45,0
10,LAD,1,1,ground_ball,center,4-Seam Fastball,Dodger Stadium,6,0,3,1,-0.29,2.53,94.1,80,-5,0
8,TB,0,1,line_drive,left,4-Seam Fastball,Oriole Park at Camden Yards,2,2,0,2,-0.34,2.48,85.8,83.3,25,0
8,NYY,1,0,line_drive,center,Sinker,Citizens Bank Park,4,0,1,1,-0.22,1.79,92.1,72.9,22,0
7,WSH,0,0,fly_ball,left,Sinker,Nationals Park,3,2,2,2,-0.75,2.95,96.3,101.6,29,1
9,MIN,1,0,line_drive,center,Cutter,Wrigley Field,7,0,0,0,0.48,1.84,88.9,102.2,30,1
9,SD,0,0,line_drive,left,Changeup,Angel Stadium of Anaheim,8,2,1,0,-0.52,2.88,81.4,87.5,21,0
8,SEA,1,1,ground_ball,center,Curveball,Angel Stadium of Anaheim,5,0,1,2,-0.08,1.66,79,103.9,-20,0
9,CWS,1,0,fly_ball,center,Curveball,Progressive Field,3,1,0,1,0.32,2.61,79.4,102.3,36,1
7,LAD,1,1,ground_ball,right,Slider,Dodger Stadium,7,2,2,2,-0.37,2.23,86.7,84.1,-25,0
10,TB,1,0,fly_ball,center,4-Seam Fastball,Dodger Stadium,1,1,3,1,-0.33,2.44,94.5,105.9,28,1
8,CHC,1,0,ground_ball,left,4-Seam Fastball,Kauffman Stadium,3,2,0,1,0.04,2.63,94.1,80.1,-23,0
9,DET,1,0,line_drive,left,Curveball,Comerica Park,7,2,1,2,-0.1,1.66,78.6,87.9,10,0
8,NYY,1,0,line_drive,right,4-Seam Fastball,New Yankee Stadium,7,2,3,2,-0.2,3.36,100.2,106.1,20,1
8,ATL,0,0,ground_ball,center,Sinker,SunTrust Park,5,0,0,1,-0.11,1.77,91.3,102.7,4,0
9,MIA,0,0,line_drive,center,Slider,SunTrust Park,3,0,1,2,0.08,3.08,88.4,105.9,29,1
9,ATL,0,0,fly_ball,left,Changeup,Oriole Park at Camden Yards,6,2,3,2,0.43,1.81,84.7,102.5,47,0
8,SEA,0,0,ground_ball,center,Curveball,T-Mobile Park,3,0,2,2,0.43,1.82,81.6,99,3,0
8,HOU,0,0,line_drive,left,Slider,Angel Stadium of Anaheim,9,2,2,1,0.23,2.81,88.8,110,20,1
8,MIA,0,1,line_drive,left,4-Seam Fastball,Oriole Park at Camden Yards,5,2,3,1,-0.27,2.88,94.2,106.7,20,1
9,HOU,1,1,ground_ball,center,4-Seam Fastball,Minute Maid Park,5,2,1,2,-0.04,2.39,95.1,92.5,-9,0
9,CLE,0,1,ground_ball,center,Cutter,Wrigley Field,5,2,2,1,-0.45,2.31,90,79.7,-39,0
8,BOS,0,1,line_drive,left,4-Seam Fastball,New Yankee Stadium,3,2,2,2,-0.83,2.4,93.3,81.9,13,0
9,TEX,1,1,line_drive,right,Sinker,Globe Life Park,8,2,2,2,0.31,2.26,87.1,108.5,24,1
8,PHI,0,0,popup,right,Curveball,Citizens Bank Park,5,0,0,1,-0.93,1.67,82.9,73.8,79,0
8,BOS,0,1,fly_ball,center,4-Seam Fastball,New Yankee Stadium,1,2,1,1,-0.14,3.02,91.2,99.8,38,1
9,OAK,1,0,fly_ball,center,4-Seam Fastball,RingCentral Coliseum,7,0,2,1,-0.76,2.75,89.5,102.7,30,1
7,CHC,0,0,ground_ball,left,Curveball,Great American Ballpark,4,1,1,2,-0.1,1.75,82.4,109.8,6,0
10,LAD,0,1,fly_ball,left,Curveball,Dodger Stadium,5,0,0,2,-0.13,2.45,75.3,100.7,35,1
8,TB,1,1,line_drive,center,4-Seam Fastball,Fenway Park,3,0,1,2,0.18,2.15,90.9,108.4,29,1
8,STL,1,0,fly_ball,center,4-Seam Fastball,Wrigley Field,3,1,0,1,0.06,2.78,87.4,105,35,1
8,MIA,0,0,fly_ball,left,4-Seam Fastball,Rogers Centre,1,2,2,0,-0.27,2.2,98.1,102.5,38,1
7,ARI,1,0,ground_ball,left,Split-Finger,Petco Park,8,0,0,1,-0.88,1.84,86.9,101.8,-1,0
9,DET,0,0,fly_ball,center,Sinker,Comerica Park,1,2,0,0,-0.92,1.78,95.8,97.1,50,0
9,PHI,1,1,ground_ball,left,Sinker,Tropicana Field,4,2,0,0,-0.51,2.02,91.4,98.6,-5,0
7,TEX,0,1,fly_ball,left,4-Seam Fastball,Globe Life Park,2,0,1,2,-0.26,3.46,84.9,100,38,0
8,OAK,0,0,line_drive,right,Curveball,RingCentral Coliseum,4,1,1,1,0.17,2.11,75.4,100.6,27,0
9,LAD,0,1,ground_ball,left,4-Seam Fastball,Dodger Stadium,2,2,1,2,0.11,1.99,91.8,101.2,5,0
9,MIL,0,0,line_drive,center,Slider,Miller Park,5,2,0,0,-0.01,1.8,84.6,97.2,28,1
8,LAD,1,0,line_drive,center,4-Seam Fastball,T-Mobile Park,2,1,2,2,-0.2,2.08,94.4,108.6,21,1
8,LAD,1,0,line_drive,center,4-Seam Fastball,Dodger Stadium,8,0,0,1,0.13,3.54,92.7,101.4,28,1
9,MIN,0,1,fly_ball,left,4-Seam Fastball,Target Field,4,1,1,1,-0.3,2.2,93.2,107.1,37,1
9,HOU,1,1,line_drive,right,Curveball,Target Field,8,2,0,1,-0.67,1.49,82,75.2,28,0
9,SEA,0,1,ground_ball,center,Sinker,T-Mobile Park,7,1,3,2,0.34,2.28,92.4,103.4,-12,0
9,CWS,0,1,ground_ball,center,Changeup,Guarantee Rate Park,6,2,1,1,-0.28,0.88,84.8,78.5,5,0
8,NYM,1,0,fly_ball,right,Slider,Citi Field,5,0,0,1,0.17,2.79,79.6,101.2,36,1
8,MIA,0,0,ground_ball,center,Slider,Marlins Park,2,2,0,0,0.48,1.61,93.1,52.3,-55,0
9,WSH,0,0,line_drive,center,Sinker,Nationals Park,3,1,1,1,0.13,2.54,90,108.7,19,1
8,CHC,1,0,fly_ball,right,4-Seam Fastball,Wrigley Field,1,0,1,1,0.34,3.68,94,105.8,35,1
9,LAA,0,0,fly_ball,left,Slider,Angel Stadium of Anaheim,4,1,0,1,0.44,2.85,77.8,83,35,0
9,CHC,0,1,fly_ball,right,Sinker,Wrigley Field,9,0,2,0,-0.45,2.7,90.5,92.8,37,0
9,CHC,1,1,ground_ball,right,Sinker,Guarantee Rate Park,6,0,2,0,0.44,2.31,88.5,97.6,-6,0
8,SEA,0,0,ground_ball,center,Sinker,Dodger Stadium,4,2,0,1,-0.67,1.58,94.2,52.7,-53,0
8,MIA,1,0,line_drive,center,Curveball,Nationals Park,8,0,3,2,0.79,0.81,78.6,95.4,14,0
8,MIL,1,0,line_drive,right,4-Seam Fastball,Wrigley Field,2,1,3,1,0.39,3.26,93,92.2,30,0
8,NYM,1,0,line_drive,center,Sinker,Marlins Park,9,2,2,1,0.03,2.16,91.5,103.4,28,1
9,PHI,1,0,fly_ball,center,4-Seam Fastball,Citizens Bank Park,2,2,2,2,0.06,2.78,91.5,100.8,33,0
9,BOS,0,0,popup,center,4-Seam Fastball,Fenway Park,4,2,3,2,-0.04,3.65,92.9,80.5,60,0
8,MIN,0,0,popup,right,Slider,PNC Park,1,1,1,1,0.44,2.15,87.3,70,74,0
8,TEX,0,1,fly_ball,center,Slider,Globe Life Park,6,2,1,1,-0.11,3.12,86,97.5,35,0
7,CIN,1,1,line_drive,center,Sinker,Great American Ballpark,3,1,0,0,0.39,2.41,91.5,86.2,22,0
8,NYY,1,1,popup,center,4-Seam Fastball,New Yankee Stadium,7,2,2,1,0.98,2.78,94,69.1,66,0
9,PHI,1,0,line_drive,left,Slider,Citizens Bank Park,6,1,2,2,-0.3,2.13,85.3,85,18,0
7,CHC,0,1,fly_ball,center,Sinker,Great American Ballpark,7,1,3,0,0.5,2.29,94.3,98.9,33,1
7,WSH,0,1,fly_ball,center,Changeup,Rogers Centre,4,1,1,2,0.02,1.58,80.3,103.2,30,1
9,CWS,0,0,ground_ball,left,Slider,Guarantee Rate Park,5,2,2,2,1.22,1.24,83.2,68.1,-33,0
10,HOU,0,1,fly_ball,left,Cutter,Minute Maid Park,1,1,1,1,-0.67,3.25,83.4,100.2,29,1
9,KC,0,1,fly_ball,center,4-Seam Fastball,Comerica Park,1,0,0,0,-1.21,2.59,92.1,94,51,0
8,MIL,0,0,line_drive,center,4-Seam Fastball,Miller Park,7,2,3,1,0.44,1.83,96,101.7,28,1
7,COL,1,0,fly_ball,center,Curveball,RingCentral Coliseum,4,1,2,2,-0.1,2.77,71.1,103.2,32,1
9,MIN,1,0,fly_ball,center,4-Seam Fastball,Target Field,8,2,3,2,0.49,2.41,95.9,95.7,24,0
9,ARI,1,1,line_drive,left,4-Seam Fastball,Chase Field,5,0,1,2,-0.52,1.23,90.8,78.1,27,0
8,BOS,1,0,fly_ball,right,Changeup,Fenway Park,3,1,0,0,-0.17,2.69,77.2,102.8,35,1
8,HOU,1,1,line_drive,left,Curveball,RingCentral Coliseum,4,0,0,2,-0.79,1.45,83.1,74.6,15,0
8,CHC,0,1,fly_ball,center,4-Seam Fastball,Wrigley Field,4,0,2,1,-0.33,3.06,89.6,91,31,1
8,CIN,1,0,fly_ball,left,4-Seam Fastball,Miller Park,3,1,1,2,0.03,2.2,98,96.1,46,0
10,LAD,0,0,line_drive,center,Changeup,Dodger Stadium,3,2,2,1,0.46,2.26,88.9,103.6,19,0
8,PHI,0,1,fly_ball,left,Changeup,Citizens Bank Park,3,0,2,1,0.32,2.03,79.6,107.9,36,1
8,CHC,0,0,line_drive,center,Slider,Wrigley Field,8,1,1,2,0.07,1.91,84.6,105.5,24,1
9,NYM,0,0,fly_ball,center,4-Seam Fastball,Citi Field,9,2,0,0,0,2.5,92.4,98.8,29,1
9,LAD,1,0,line_drive,right,Changeup,Coors Field,7,2,1,2,0.12,2.27,91.5,102.6,9,0
8,CHC,0,0,line_drive,left,Sinker,Wrigley Field,5,0,0,1,-0.49,2.04,95.8,114.1,15,0
7,TOR,1,0,ground_ball,left,Changeup,Rogers Centre,2,1,1,2,-0.58,1.32,85.7,62.5,-34,0
9,TOR,0,0,line_drive,center,4-Seam Fastball,New Yankee Stadium,5,0,3,1,0.13,2.92,92.5,103.3,25,1
8,KC,0,0,fly_ball,right,Changeup,Wrigley Field,2,2,1,2,0.04,2.09,81.8,88.7,42,0
9,SD,0,1,line_drive,left,Curveball,Petco Park,4,2,0,0,0.18,2,81.2,104.5,29,1
9,TOR,0,0,fly_ball,right,4-Seam Fastball,Rogers Centre,7,0,0,1,0.52,2.79,95.4,94.9,30,1
9,KC,1,0,line_drive,right,4-Seam Fastball,Progressive Field,7,2,3,1,0.86,2.85,92.4,109,28,1
9,TEX,0,0,ground_ball,left,Curveball,Minute Maid Park,6,1,2,2,0.22,1.91,70.4,79.3,1,0
8,SD,1,0,ground_ball,center,Sinker,Globe Life Park,7,1,3,1,-0.5,1.28,91,81.9,-31,0
9,TEX,1,0,line_drive,right,Sinker,Globe Life Park,6,1,0,0,0.14,2.3,91.2,105.4,27,1
8,CLE,0,1,ground_ball,center,Changeup,Progressive Field,3,2,0,0,-0.01,2.45,87.9,106.7,-15,0
8,ATL,1,0,line_drive,right,4-Seam Fastball,New Yankee Stadium,4,1,1,2,-0.01,3.36,91.2,87,8,0
8,BAL,0,0,fly_ball,center,Sinker,Rogers Centre,6,0,1,1,-0.82,2.25,89.2,100.1,29,1
7,WSH,0,0,line_drive,left,Slider,Nationals Park,4,0,0,0,-0.14,2.04,80.2,102,6,0
9,PIT,0,1,line_drive,center,4-Seam Fastball,PNC Park,1,1,0,2,0.01,3.34,91.4,104.2,28,1
9,KC,0,0,fly_ball,right,Changeup,Progressive Field,3,1,0,1,-0.72,2.85,85.5,77.9,42,0
8,SF,1,0,ground_ball,left,Slider,Coors Field,6,2,1,1,-0.35,2.36,88.1,108.7,-2,0
7,TB,0,1,fly_ball,left,4-Seam Fastball,Tropicana Field,8,1,1,2,-0.19,2.94,89.6,103.8,34,1
8,COL,0,1,line_drive,center,4-Seam Fastball,Coors Field,6,1,1,1,-0.62,2.05,94.4,104,28,1
8,BAL,1,1,fly_ball,right,Slider,Oriole Park at Camden Yards,4,0,1,1,0.1,2.35,78.6,91.5,33,1
9,PIT,1,0,ground_ball,center,Sinker,PNC Park,6,1,1,0,-0.19,1.75,95.7,70.5,-43,0
